filepath,room_type,split,condition_score
train/balcony/1302750086537790_4247031595442943__005_10163368562137832.jpg,balcony,train,5
train/balcony/151351752255977_1998516384206162__001_27788607637425962.jpg,balcony,train,3
train/balcony/1250686224969130_26887670177510716__005_27058137690485717.jpg,balcony,train,2
train/balcony/1302750086537790_4250087035137399__001_4250087035137399.jpg,balcony,train,5
train/balcony/1564067761059184_2159269548205666__006_2809412206068959.jpg,balcony,train,5
train/balcony/1414853725269536_26894078556920369__008_1496706951990468.jpg,balcony,train,4
train/balcony/137474916300778_26694895626798679__003_10242464802135389.jpg,balcony,train,4
train/balcony/1480733602056021_26627253503644017__004_10164648124988770.jpg,balcony,train,3
train/balcony/1029345667543954_2387083148436859__007_1021232970333541.jpg,balcony,train,4
train/balcony/1692162830827333_26968206686129599__005_1564004872402607.jpg,balcony,train,4
train/balcony/1591401697779759_4253735598213009__004_27739876915614733.jpg,balcony,train,4
train/balcony/1444861819075775_4433637780198149__010_26824283790590911.jpg,balcony,train,5
train/balcony/136756476866142_2180347489173687__009_26299327883099705.jpg,balcony,train,5
train/balcony/1308193765888197_36035796952701102__002_10232744892706059.jpg,balcony,train,5
train/balcony/1302750086537790_4239205196225583__003_26464036079958651.jpg,balcony,train,5
train/balcony/137474916300778_26706485362306372__001_26706485362306372.jpg,balcony,train,4
train/balcony/167401334126918_2011099289757104__006_27389779067280728.jpg,balcony,train,4
train/balcony/1692162830827333_26851985701085032__003_10164244715308620.jpg,balcony,train,4
train/balcony/1374467126144215_4383213515269546__003_4431665097120536.jpg,balcony,train,3
train/balcony/151351752255977_1993591844698616__003_27716547624631964.jpg,balcony,train,3
train/balcony/133922880497171_2056041521618621__006_10229210893290745.jpg,balcony,train,4
train/balcony/1302750086537790_4246349392177830__004_10239656190290280.jpg,balcony,train,3
train/balcony/1302750086537790_4238853649594071__003_10174199559730612.jpg,balcony,train,4
train/balcony/140974480089370_2200510287469102__004_27389124264013990.jpg,balcony,train,4
train/balcony/111163552234056_27819199181003787__006_2514703752379277.jpg,balcony,train,2
train/balcony/1108280606220345_2679463205768736__007_27014484954848620.jpg,balcony,train,5
train/balcony/162570224559186_2196085097874345__006_1633202235475449.jpg,balcony,train,4
train/balcony/101875683484689_2904975009841395__009_10243473618564569.jpg,balcony,train,5
train/balcony/125793327613639_3042871415905801__006_1559958256132131.jpg,balcony,train,4
train/balcony/1029345667543954_2389627394849101__006_122170296206908145.jpg,balcony,train,4
train/balcony/1374467126144215_4384192071838357__001_4384192071838357.jpg,balcony,train,4
train/balcony/167401334126918_2017250172475349__001_2017250172475349.jpg,balcony,train,4
train/balcony/136756476866142_2175292663012503__002_10241060896484577.jpg,balcony,train,4
train/balcony/1446203822077011_27370215589249146__004_122163880490902795.jpg,balcony,train,4
train/balcony/1578259502584829_2452308541846583__006_27337157605914396.jpg,balcony,train,4
train/balcony/1308193765888197_35915959941351471__001_35915959941351471.jpg,balcony,train,4
train/balcony/1308193765888197_35932248796389252__005_36098827809708119.jpg,balcony,train,3
train/balcony/1374467126144215_4392599280997636__005_27437055325905977.jpg,balcony,train,4
train/balcony/128182133878732_27338942395709338__005_1501624128322059.jpg,balcony,train,4
train/balcony/1109406492459598_27223231510650406__009_2901417403539290.jpg,balcony,train,4
train/balcony/162570224559186_2190507785098743__003_122122246035235415.jpg,balcony,train,4
train/balcony/1658210834462300_4484090648540957__001_4484090648540957.jpg,balcony,train,5
train/balcony/1302750086537790_4248789615267141__004_1324117093117154.jpg,balcony,train,5
train/balcony/1308193765888197_35912862771661188__005_27140822988844370.jpg,balcony,train,4
train/balcony/1424244737803677_4552393058322147__001_4552393058322147.jpg,balcony,train,5
train/balcony/162570224559186_2189724528510402__002_26320397624224880.jpg,balcony,train,5
train/balcony/1592420637729022_3953758228261906__004_4325878507625086.jpg,balcony,train,5
train/balcony/1644120495892745_3942755262695912__003_10227251838716883.jpg,balcony,train,3
train/balcony/162570224559186_2191100601706128__003_2325683124626097.jpg,balcony,train,5
train/balcony/1692162830827333_26813243231625946__003_35371901449120370.jpg,balcony,train,5
train/balcony/108387882545483_27154516837505888__003_4462708373874782.jpg,balcony,train,5
train/balcony/1108075092683422_3610925029065070__001_1642547686967472.jpg,balcony,train,4
train/balcony/137474916300778_26793358853619022__004_1589963855426845.jpg,balcony,train,4
train/balcony/101875683484689_2902155936789969__002_27235780636025950.jpg,balcony,train,5
train/balcony/1108280606220345_2681318788916511__007_1800991247725122.jpg,balcony,train,5
train/balcony/1592420637729022_3953790301592032__003_4106063212871391.jpg,balcony,train,3
