filepath,room_type,split,condition_score
train/balcony/101875683484689_2899475187058044__004_26729426433385462.jpg,balcony,train,4
train/balcony/101875683484689_2899484727057090__001_2899484727057090.jpg,balcony,train,4
train/balcony/101875683484689_2899484727057090__002_4062704764020587.jpg,balcony,train,4
train/balcony/101875683484689_2899948567010706__004_10162986462965745.jpg,balcony,train,5
train/balcony/101875683484689_2899994413672788__005_27066047483012438.jpg,balcony,train,4
train/balcony/101875683484689_2900031640335732__005_26769763469345885.jpg,balcony,train,5
train/balcony/101875683484689_2900034427002120__005_2853958908272414.jpg,balcony,train,5
train/balcony/101875683484689_2900034427002120__009_2853958904939081.jpg,balcony,train,4
train/balcony/101875683484689_2900068860332010__001_2900068860332010.jpg,balcony,train,5
train/balcony/101875683484689_2900091090329787__004_1460331932558466.jpg,balcony,train,3
train/balcony/101875683484689_2900163126989250__001_2900163126989250.jpg,balcony,train,3
train/balcony/101875683484689_2900179736987589__005_27635641376039166.jpg,balcony,train,4
train/balcony/101875683484689_2900283886977174__001_2900283886977174.jpg,balcony,train,4
train/balcony/101875683484689_2900320486973514__005_27308487078769312.jpg,balcony,train,4
train/balcony/101875683484689_2900396170299279__001_2900396170299279.jpg,balcony,train,5
train/balcony/101875683484689_2900624073609822__010_122188966922796252.jpg,balcony,train,4
train/balcony/101875683484689_2900892776916285__005_27644942405109063.jpg,balcony,train,4
train/balcony/101875683484689_2900904230248473__004_10162990214380745.jpg,balcony,train,5
train/balcony/101875683484689_2900918343580395__002_122180448734794759.jpg,balcony,train,4
train/balcony/101875683484689_2900974116908151__001_2900974116908151.jpg,balcony,train,4
train/balcony/101875683484689_2901224096883153__010_122189092310796252.jpg,balcony,train,4
train/balcony/101875683484689_2901233523548877__002_10242665504754279.jpg,balcony,train,4
train/balcony/101875683484689_2901327130206183__006_10237785150720053.jpg,balcony,train,5
train/balcony/101875683484689_2901534956852067__001_1623475568941836.jpg,balcony,train,3
train/balcony/101875683484689_2902022890136607__004_10162994385995745.jpg,balcony,train,5
train/balcony/101875683484689_2902103720128524__005_26959161360362048.jpg,balcony,train,4
train/balcony/101875683484689_2902155936789969__001_2902155936789969.jpg,balcony,train,4
train/balcony/101875683484689_2902155936789969__002_27235780636025950.jpg,balcony,train,5
train/balcony/101875683484689_2902179383454291__006_27629986853268842.jpg,balcony,train,3
train/balcony/101875683484689_2902184260120470__006_10241646905410370.jpg,balcony,train,5
train/balcony/101875683484689_2902333150105581__004_10245377448040945.jpg,balcony,train,5
train/balcony/101875683484689_2902333150105581__010_10245377451401029.jpg,balcony,train,4
train/balcony/101875683484689_2902333753438854__010_10245377441280776.jpg,balcony,train,4
train/balcony/101875683484689_2902410963431133__005_10229074367357757.jpg,balcony,train,4
train/balcony/101875683484689_2902410963431133__006_10229074337277005.jpg,balcony,train,3
train/balcony/101875683484689_2902438996761663__005_10174866420805492.jpg,balcony,train,5
train/balcony/101875683484689_2902733906732172__005_122189316218796252.jpg,balcony,train,5
train/balcony/101875683484689_2903086793363550__005_27675045352098768.jpg,balcony,train,4
train/balcony/101875683484689_2903320726673490__009_10164788471304015.jpg,balcony,train,3
train/balcony/101875683484689_2904947469844149__009_10242093445903537.jpg,balcony,train,5
train/balcony/101875683484689_2904975009841395__002_10243473616244511.jpg,balcony,train,5
train/balcony/101875683484689_2904975009841395__004_10243473617204535.jpg,balcony,train,5
train/balcony/101875683484689_2904975009841395__009_10243473618564569.jpg,balcony,train,5
train/balcony/101875683484689_2905382973133932__006_27372411212343512.jpg,balcony,train,2
train/balcony/101875683484689_2905419756463587__003_27372889882295645.jpg,balcony,train,2
train/balcony/101875683484689_2905912326414330__004_27617723981153817.jpg,balcony,train,5
train/balcony/101875683484689_2906025083069721__006_10243739252155664.jpg,balcony,train,4
train/balcony/101875683484689_2906275669711329__007_10163342496569582.jpg,balcony,train,4
train/balcony/101875683484689_2906553189683577__008_2180995362634614.jpg,balcony,train,5
train/balcony/101875683484689_2906886736316889__005_27724786070458029.jpg,balcony,train,4
